product_name,product_price,product_ram,product_display,product_camera,product_warranty,bettary,processor
"POCO C31 (Royal Blue, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"1 Year Warranty for Handset, 6 Months for Accessories",5000 mAh Lithium-ion Polymer Battery,MediaTek G35 Processor
"POCO C31 (Shadow Gray, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"1 Year Warranty for Handset, 6 Months for Accessories",5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor
"POCO M4 Pro (Cool Blue, 128 GB)","13,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,"One Year for Handset, 6 Months for Accessories",5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor
"POCO C50 (Royal Blue, 32 GB)","5,749",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor"
"POCO C31 (Royal Blue, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"1 Year Warranty for Handset, 6 Months for Accessories",5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor
"MOTOROLA e13 (Aurora Green, 64 GB)","7,799",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Battery,Unisoc T606 Processor
"POCO C55 (Power Black, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5000 mAh Battery,Mediatek Helio G85 Processor
"POCO C55 (Cool Blue, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5000 mAh Battery,Mediatek Helio G85 Processor
"POCO C55 (Power Black, 128 GB)","10,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5000 mAh Battery,Mediatek Helio G85 Processor
Nokia 105 SS,"1,299",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase,800 mAh Lithium Ion Battery,SC6531E Processor
